Open,High,Low,Close,Volume,ticker,date
1588.839966,1588.839966,1552.280029,1552.359985,4660130000,SP,4/15/13
1552.359985,1575.349976,1552.359985,1574.569946,3654700000,SP,4/16/13
1574.569946,1574.569946,1543.689941,1552.01001,4250310000,SP,4/17/13
1552.030029,1554.380005,1536.030029,1541.609985,3890800000,SP,4/18/13
1541.609985,1555.890015,1539.400024,1555.25,3569870000,SP,4/19/13
1555.25,1565.550049,1548.189941,1562.5,2979880000,SP,4/22/13
1562.5,1579.579956,1562.5,1578.780029,3565150000,SP,4/23/13
1578.780029,1583,1575.800049,1578.790039,3598240000,SP,4/24/13
1578.930054,1592.640015,1578.930054,1585.160034,3908580000,SP,4/25/13
1585.160034,1585.780029,1577.560059,1582.23999,3198620000,SP,4/26/13
1582.339966,1596.650024,1582.339966,1593.609985,2891200000,SP,4/29/13
1593.579956,1597.569946,1586.5,1597.569946,3745070000,SP,4/30/13
1597.550049,1597.550049,1581.280029,1582.699951,3530320000,SP,5/1/13
1582.77002,1598.599976,1582.77002,1597.589966,3366950000,SP,5/2/13
1597.599976,1618.459961,1597.599976,1614.420044,3603910000,SP,5/3/13
1614.400024,1619.77002,1614.209961,1617.5,3062240000,SP,5/6/13
1617.550049,1626.030029,1616.640015,1625.959961,3309580000,SP,5/7/13
1625.949951,1632.780029,1622.699951,1632.689941,3554700000,SP,5/8/13
1632.689941,1635.01001,1623.089966,1626.670044,3457400000,SP,5/9/13
1626.689941,1633.699951,1623.709961,1633.699951,3086470000,SP,5/10/13
1632.099976,1636,1626.73999,1633.77002,2910600000,SP,5/13/13
1633.75,1651.099976,1633.75,1650.339966,3457790000,SP,5/14/13
1649.130005,1661.48999,1646.680054,1658.780029,3657440000,SP,5/15/13
1658.069946,1660.51001,1648.599976,1650.469971,3513130000,SP,5/16/13
1652.449951,1667.469971,1652.449951,1667.469971,3440710000,SP,5/17/13
1665.709961,1672.839966,1663.52002,1666.290039,3275080000,SP,5/20/13
1666.199951,1674.930054,1662.670044,1669.160034,3513560000,SP,5/21/13
1669.390015,1687.180054,1648.859985,1655.349976,4361020000,SP,5/22/13
1651.619995,1655.5,1635.530029,1650.51001,3945510000,SP,5/23/13
1646.670044,1649.780029,1636.880005,1649.599976,2758080000,SP,5/24/13
1652.630005,1674.209961,1652.630005,1660.060059,3457400000,SP,5/28/13
1656.569946,1656.569946,1640.050049,1648.359985,3587140000,SP,5/29/13
1649.140015,1661.910034,1648.609985,1654.410034,3498620000,SP,5/30/13
1652.130005,1658.98999,1630.73999,1630.73999,4099600000,SP,5/31/13
1631.709961,1640.420044,1622.719971,1640.420044,3952070000,SP,6/3/13
1640.72998,1646.530029,1623.619995,1631.380005,3653840000,SP,6/4/13
1629.050049,1629.310059,1607.089966,1608.900024,3632350000,SP,6/5/13
1609.290039,1622.560059,1598.22998,1622.560059,3547380000,SP,6/6/13
1625.27002,1644.400024,1625.27002,1643.380005,3371990000,SP,6/7/13
1644.670044,1648.689941,1639.26001,1642.810059,2978730000,SP,6/10/13
1638.640015,1640.130005,1622.920044,1626.130005,3435710000,SP,6/11/13
1629.939941,1637.709961,1610.920044,1612.52002,3202550000,SP,6/12/13
1612.150024,1639.25,1608.069946,1636.359985,3378620000,SP,6/13/13
1635.52002,1640.800049,1623.959961,1626.72998,2939400000,SP,6/14/13
1630.640015,1646.5,1630.339966,1639.040039,3137080000,SP,6/17/13
1639.77002,1654.189941,1639.77002,1651.810059,3120980000,SP,6/18/13
1651.829956,1652.449951,1628.910034,1628.930054,3545060000,SP,6/19/13
1624.619995,1624.619995,1584.319946,1588.189941,4858850000,SP,6/20/13
1588.619995,1599.189941,1577.699951,1592.430054,5797280000,SP,6/21/13
1588.77002,1588.77002,1560.329956,1573.089966,4733660000,SP,6/24/13
1577.52002,1593.790039,1577.089966,1588.030029,3761170000,SP,6/25/13
1592.27002,1606.829956,1592.27002,1603.26001,3558340000,SP,6/26/13
1606.439941,1620.069946,1606.439941,1613.199951,3364540000,SP,6/27/13
1611.119995,1615.939941,1601.060059,1606.280029,4977190000,SP,6/28/13
1609.780029,1626.609985,1609.780029,1614.959961,3104690000,SP,7/1/13
1614.290039,1624.26001,1606.77002,1614.079956,3317130000,SP,7/2/13
1611.47998,1618.969971,1604.569946,1615.410034,1966050000,SP,7/3/13
1618.650024,1632.069946,1614.709961,1631.890015,2634140000,SP,7/5/13
1634.199951,1644.680054,1634.199951,1640.459961,3514590000,SP,7/8/13
1642.890015,1654.180054,1642.890015,1652.319946,3155360000,SP,7/9/13
1651.560059,1657.920044,1647.660034,1652.619995,3011010000,SP,7/10/13
1657.410034,1676.630005,1657.410034,1675.02002,3446340000,SP,7/11/13
1675.26001,1680.189941,1672.329956,1680.189941,3039070000,SP,7/12/13
1679.589966,1684.51001,1677.890015,1682.5,2623200000,SP,7/15/13
1682.699951,1683.72998,1671.839966,1676.26001,3081710000,SP,7/16/13
1677.910034,1684.75,1677.910034,1680.910034,3153440000,SP,7/17/13
1681.050049,1693.119995,1681.050049,1689.369995,3452370000,SP,7/18/13
1686.150024,1692.089966,1684.079956,1692.089966,3302580000,SP,7/19/13
1694.410034,1697.609985,1690.670044,1695.530029,2779130000,SP,7/22/13
1696.630005,1698.780029,1691.130005,1692.390015,3096180000,SP,7/23/13
1696.060059,1698.380005,1682.569946,1685.939941,3336120000,SP,7/24/13
1685.209961,1690.939941,1680.069946,1690.25,3322500000,SP,7/25/13
1687.310059,1691.849976,1676.030029,1691.650024,2762770000,SP,7/26/13
1690.319946,1690.920044,1681.859985,1685.329956,2840520000,SP,7/29/13
1687.920044,1693.189941,1682.420044,1685.959961,3320530000,SP,7/30/13
1687.76001,1698.430054,1684.939941,1685.72998,3847390000,SP,7/31/13
1689.420044,1707.849976,1689.420044,1706.869995,3775170000,SP,8/1/13
1706.099976,1709.670044,1700.680054,1709.670044,3136630000,SP,8/2/13
1708.01001,1709.23999,1703.550049,1707.140015,2529300000,SP,8/5/13
1705.790039,1705.790039,1693.290039,1697.369995,3141210000,SP,8/6/13
1695.300049,1695.300049,1684.910034,1690.910034,3010230000,SP,8/7/13
1693.349976,1700.180054,1688.380005,1697.47998,3271660000,SP,8/8/13
1696.099976,1699.420044,1686.02002,1691.420044,2957670000,SP,8/9/13
1688.369995,1691.48999,1683.349976,1689.469971,2789160000,SP,8/12/13
1690.650024,1696.810059,1682.619995,1694.160034,3035560000,SP,8/13/13
1693.880005,1695.52002,1684.829956,1685.390015,2871430000,SP,8/14/13
1679.609985,1679.609985,1658.589966,1661.319946,3426690000,SP,8/15/13
1661.219971,1663.599976,1652.609985,1655.829956,3211450000,SP,8/16/13
1655.25,1659.180054,1645.839966,1646.060059,2904530000,SP,8/19/13
1646.810059,1658.920044,1646.079956,1652.349976,2994090000,SP,8/20/13
1650.660034,1656.98999,1639.430054,1642.800049,2932180000,SP,8/21/13
1645.030029,1659.550049,1645.030029,1656.959961,2537460000,SP,8/22/13
1659.920044,1664.849976,1654.810059,1663.5,2582670000,SP,8/23/13
1664.290039,1669.51001,1656.02002,1656.780029,2430670000,SP,8/26/13
